S No,College_Code,College_Name,College_Type,Region,District,Place,COED,Affliate_Univ,ESTD,Branch,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BC_A_BOYS,BC_A_GIRLS,BC_B_BOYS,BC_B_GIRLS,BC_C_BOYS,BC_C_GIRLS,BC_D_BOYS,BC_D_GIRLS,BC_E_BOYS,BC_E_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS,FEE
1222,KORM,"KANDULA OBUL REDDY MEMORIAL
COLL. OF ENGG.",PVT,SVU,KDP,KADAPA,COED,JNTUA,2006,AID,143726,143726,161446,161446,143726,143726,143726,143726,143726,143726,143726,143726,143726,143726,143726,143726,168787,139037,35000
1223,KORM,"KANDULA OBUL REDDY MEMORIAL
COLL. OF ENGG.",PVT,SVU,KDP,KADAPA,COED,JNTUA,2006,AIM,165117,165117,169613,169613,165117,165117,165117,165117,165117,165117,165117,165117,165117,165117,165117,165117,,,35000
1224,KORM,"KANDULA OBUL REDDY MEMORIAL
COLL. OF ENGG.",PVT,SVU,KDP,KADAPA,COED,JNTUA,2006,CSE,66925,66925,172615,172615,132070,132070,77008,98106,156847,156847,66925,66925,158744,163673,118389,143199,142020,136548,35000
1225,KORM,"KANDULA OBUL REDDY MEMORIAL
COLL. OF ENGG.",PVT,SVU,KDP,KADAPA,COED,JNTUA,2006,ECE,147562,147562,162246,162371,147562,151418,164000,164000,149346,149346,147562,147562,147562,147562,147562,147562,123534,131136,35000
1226,KSRM,K S R M COLLEGE OF ENGINEERING,PVT,SVU,KDP,KADAPA,COED,JNTUA,1980,AIM,56795,63852,158906,158906,172100,172100,63188,99319,60031,104018,56795,145569,108548,108548,56795,63852,63028,49906,56700
1227,KSRM,K S R M COLLEGE OF ENGINEERING,PVT,SVU,KDP,KADAPA,COED,JNTUA,1980,CIV,148280,148280,173155,173155,148280,148280,148280,148280,148280,148280,148280,148280,148280,148280,148353,148353,,,56700
1228,KSRM,K S R M COLLEGE OF ENGINEERING,PVT,SVU,KDP,KADAPA,COED,JNTUA,1980,CSE,34625,34625,92024,113503,163925,163925,65127,65127,52488,53613,59689,59689,72964,80816,50075,58375,39468,38857,56700
1229,KSRM,K S R M COLLEGE OF ENGINEERING,PVT,SVU,KDP,KADAPA,COED,JNTUA,1980,ECE,68252,68252,172359,172932,165625,165625,95965,95965,101133,142079,68252,101837,98478,154930,72767,162575,68584,70641,56700
1230,KSRM,K S R M COLLEGE OF ENGINEERING,PVT,SVU,KDP,KADAPA,COED,JNTUA,1980,EEE,135484,135484,169456,171026,162028,162028,155833,156123,169025,169025,135484,135484,135484,135484,135484,153502,128741,125198,56700
1231,KSRM,K S R M COLLEGE OF ENGINEERING,PVT,SVU,KDP,KADAPA,COED,JNTUA,1980,MEC,168755,168755,168755,168755,169627,169627,168755,168755,168755,168755,168755,168755,168755,168755,168755,168755,,,56700
1232,NIST,"NARAYANADRI INST OF SCI
TECHNOLOGY",PVT,SVU,KDP,RAJAMPETA,COED,JNTUA,2009,CSE,169773,169773,169773,169773,169773,169773,169773,169773,169773,169773,169773,169773,169773,169773,169773,169773,,,35000
1233,PRMP,"P. RAMIREDDY MEMORIAL COLLEGE
OF PHARMACY",PVT,SVU,KDP,KADAPA,COED,JNTUA,1997,PHD,172340,172340,172340,172340,172340,172340,172340,172340,172340,172340,172340,172340,172340,172340,172340,172340,,,38500
1234,PRMP,"P. RAMIREDDY MEMORIAL COLLEGE
OF PHARMACY",PVT,SVU,KDP,KADAPA,COED,JNTUA,1997,PHM,159451,159451,159451,159451,159451,159451,159451,159451,159451,159451,159451,159451,159451,159451,159451,159451,,,41600
1235,SATS,"SRI ANNAMACHARYA INSTITUTE OF
TECHNOLOGY AND SCIENCE",PVT,SVU,KDP,RAJAMPETA,COED,JNTUA,2008,CSD,169131,169163,169131,169163,173554,173554,169163,169163,169169,169169,,,169142,169163,169163,169163,,161171,38000
1236,SATS,"SRI ANNAMACHARYA INSTITUTE OF
TECHNOLOGY AND SCIENCE",PVT,SVU,KDP,RAJAMPETA,COED,JNTUA,2008,CSE,86060,86060,165231,165231,86060,86060,86113,86113,158932,158932,86060,86060,86060,86060,86060,86060,,131646,38000
1237,SATS,"SRI ANNAMACHARYA INSTITUTE OF
TECHNOLOGY AND SCIENCE",PVT,SVU,KDP,RAJAMPETA,COED,JNTUA,2008,ECE,169131,169163,173540,173558,173554,173554,169163,169163,169131,169163,,,169131,169163,169163,169163,,,38000
1238,SRIP,"SAI RAJESWARI INSTITUTE OF
TECHNOLOGY",PVT,SVU,KDP,PRODDATUR,COED,JNTUA,2009,CSE,124940,160469,169371,169371,155024,160469,167218,168846,161848,161848,147055,160469,161280,161280,149589,160469,166906,120500,35000
1239,SRIP,"SAI RAJESWARI INSTITUTE OF
TECHNOLOGY",PVT,SVU,KDP,PRODDATUR,COED,JNTUA,2009,ECE,149986,149986,152717,170355,149986,160541,149986,149986,149986,149986,149986,149986,149986,149986,168084,168084,142273,132828,35000
1240,SRSR,"SRI SAI INSTITUTE OF TECHNOLOGY.
AND SCI.",PVT,SVU,KDP,RAYCHOTI,COED,JNTUA,2001,CSE,124608,124608,138172,155823,140176,140176,165021,165021,168196,168196,132931,132931,149299,149299,126822,126822,164198,130821,37700
1241,SRSR,"SRI SAI INSTITUTE OF TECHNOLOGY.
AND SCI.",PVT,SVU,KDP,RAYCHOTI,COED,JNTUA,2001,ECE,163928,163928,168827,168827,163928,163928,163928,163928,166984,166984,163928,163928,163928,163928,163928,163928,,,37700
1242,SRTS,"SRINIVASA INST OF TECHNOLOGY
SCIENCE",PVT,SVU,KDP,KADAPA,COED,JNTUA,2009,CSE,163912,163912,172816,172816,163912,164675,163912,163912,169122,169122,163912,163912,166754,166754,163912,163912,164719,168689,35000
